CODIGO|PROCEDIMENTO|PORTE|VALOR PORTE|AUXILIARES|VALOR UCO|PORTE ANESTESICO|QTDE FILME|INCIDENCIA|VALOR
20101090|AVALIAÇÃO DA COMPOSIÇÃO CORPORAL POR ANTROPOMETRIA (INCLUI CONSULTA)|02B|45,9|0|0|0|0|0|45,9
20101104|AVALIAÇÃO DA COMPOSIÇÃO CORPORAL POR BIOIMPEDÂNCIOMETRIA|01A|8,5|0|5,5|0|0|0|14
20101112|AVALIAÇÃO DA COMPOSIÇÃO CORPORAL POR PESAGEM HIDROSTÁTICA|01A|8,5|0|0|0|0|0|8,5
20101155|PRESTAÇÃO DE SERVIÇOS EM DELEGAÇÕES OU COMPETIÇÕES ESPORTIVAS|06C|260,1|0|0|0|0|0|260,1
20101163|PULSOTERAPIA (POR SESSÃO)|04C|160,65|0|0|0|0|0|160,65
20101171|REJEIÇÃO DE ENXERTO RENAL - TRATAMENTO AMBULATORIAL - AVALIAÇÃO CLÍNICA DIÁRIA|02C|54,4|0|0|0|0|0|54,4
20101201|AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE MARCAPASSO OU SINCRONIZADOR OU DESFIBRILADOR|02B|45,9||60||||
20102011|HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO|02A|34|0|81|0|0|0|115
20102020|HOLTER DE 24 HORAS - 3 CANAIS - DIGITAL|02A|34|0|120|0|0|0|154
20102038|MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS)|02A|34|0|120|0|0|0|154
20102062|IMITANCIOMETRIA DE ALTA FREQUÊNCIA|02A|34|0|300|0|0|0|334
20102070|TILT TESTE|02A|34|0|120|0|0|0|154
20102111|MONITORIZACAO ELETROCARDIOGRAFICA PROGRAMADA COM TRANSCRIÇAO - NAO CONTINUA|02A|34||0||||
20103018|ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS PARA VISÃO SUBNORMAL (POR SESSÃO) - BINOCULAR|01B|17|0|0|0|0|0|17
20103026|AMPUTAÇÃO BILATERAL (PREPARAÇÃO DO COTO)|01C|25,5|0|7,1|0|0|0|32,6
20103034|AMPUTACAO BILATERAL (TREINAMENTO PROTETICO)|01C|25,5|0|6,4|0|0|0|31,9
20103042|AMPUTAÇÃO UNILATERAL (PREPARAÇÃO DO COTO)|01B|17|0|4,7|0|0|0|21,7
20103050|AMPUTAÇÃO UNILATERAL (TREINAMENTO PROTÉTICO)|01B|17|0|4,9|0|0|0|21,9
20103069|ASSISTÊNCIA FISIÁTRICA RESPIRATÓRIA EM PRÉ E PÓS-OPERATÓRIO DE CONDIÇÕES CIRÚRGICAS|01B|17|0|3|0|0|0|20
20103077|ATAXIAS|01C|25,5|0|2,3|0|0|0|27,8
20103093|FISIOTERAPIA POS-OPERAT./IMOBILIZ.+ DE 1 MEMBRO|01B|17|0|0|0|0|0|17
20103107|ATENDIMENTO FISIÁTRICO NO PRÉ E PÓS-PARTO|01B|17|0|0|0|0|0|17
20103115|ATIVIDADE REFLEXA OU APLICAÇÃO DE TÉCNICA CINESIOTERÁPICA ESPECÍFICA|01B|17|0|0|0|0|0|17
20103131|BIOFEEDBACK COM EMG|02C|54,4|0|4,2|0|0|0|58,6
20103140|BLOQUEIO FENÓLICO, ALCOÓLICO OU C/ TOXINA BOTULÍNICA (DE PTOS MOTORES) - POR MEMBRO OU SEGMENTO CORP|02C|54,4|0|19,5|1|0|0|73,9
20103158|CONFECÇÃO DE ÓRTESES EM MATERIAL TERMO-SENSÍVEL (POR UNIDADE)|01B|17|0|4,2|0|0|0|21,2
20103166|CONFECÇÃO DE PRÓTESE IMEDIATA|01C|25,5|0|63|0|0|0|88,5
20103174|CONFECÇÃO DE PRÓTESE PROVISÓRIA|01B|17|0|55|0|0|0|72
20103182|DESVIOS POSTURAIS DA COLUNA VERTEBRAL|01B|17||0||||
20103190|DISFUNCAO VESICO URETRAL|01B|17|0|1,6|0|0|0|18,6
20103204|DISTROFIA SIMPÁTICO-REFLEXA|01C|25,5|0|4,5|0|0|0|30
20103212|DISTÚRBIOS CIRCULATÓRIOS ARTÉRIO-VENOSOS E LINFÁTICOS|01B|17|0|11|0|0|0|28
20103220|DOENÇAS PULMONARES ATENDIDAS EM AMBULATÓRIO|01B|17|0|4,4|0|0|0|21,4
20103239|EXERCÍCIOS DE ORTÓPTICA (POR SESSÃO)|01A|8,5|0|0|0|0|0|8,5
20103247|EXERCÍCIOS PARA REABILITAÇÃO DO ASMÁTICO (ERAC) - POR SESSÃO COLETIVA|01A|8,5|0|4,4|0|0|0|12,9
20103255|EXERCÍCIOS PARA REABILITAÇÃO DO ASMÁTICO (ERAI) - POR SESSÃO INDIVIDUAL|01B|17|0|4,4|0|0|0|21,4
20103263|HEMIPARESIA|02A|34|0|2,5|0|0|0|36,5
20103271|HEMIPLEGIA|02A|34|0|3,3|0|0|0|37,3
20103280|HEMIPLEGIA E HEMIPARESIA COM AFASIA|02A|34|0|3,5|0|0|0|37,5
20103298|HIPO OU AGENESIA DE MEMBROS|01B|17|0|4,2|0|0|0|21,2
20103301|INFILTRAÇÃO DE PONTO GATILHO (POR MÚSCULO) OU AGULHAMENTO SECO (POR MÚSCULO)|03A|74,8|0|0|0|0|0|74,8
20103310|LESÃO NERVOSA PERIFÉRICA AFETANDO MAIS DE UM NERVO COM ALTERAÇÕES SENSITIVAS E/OU MOTORAS|01C|25,5|0|4|0|0|0|29,5
20103328|LESÃO NERVOSA PERIFÉRICA AFETANDO UM NERVO COM ALTERAÇÕES SENSITIVAS E/OU MOTORAS|01C|25,5|0|4|0|0|0|29,5
20103336|MANIPULAÇÃO VERTEBRAL|02B|45,9|0|0|0|0|0|45,9
20103344|MIOPATIAS|01C|25,5|0|3,7|0|0|0|29,2
20103360|PACIENTE COM D.P.O.C. EM ATENDIMENTO AMBULATORIAL NECESSITANDO REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRI|01C|25,5|0|5,4|0|0|0|30,9
20103379|PACIENTE EM PÓS-OPERATÓRIO DE CIRURGIA CARDÍACA, ATENDIDO EM AMBULATÓRIO, DUAS A TRÊS VEZES POR SEMA|01B|17|0|0|0|0|0|17
20103387|PACIENTES COM DOENÇA ISQUÊMICA DO CORAÇÃO, ATENDIDO EM AMBULATÓRIO DE 8 A 24 SEMANAS|01B|17|0|0|0|0|0|17
20103395|PACIENTES COM DOENÇA ISQUÊMICA DO CORAÇÃO, ATENDIDO EM AMBULATÓRIO, ATÉ 8 SEMANAS DE PROGRAMA|01B|17|0|0|0|0|0|17
20103409|PACIENTES COM DOENÇAS NEURO-MÚSCULO-ESQUELÉTICAS COM ENVOLVIMENTO TEGUMENTAR|01B|17|0|1,4|0|0|0|18,4
20103417|PACIENTES S/ DOENÇA CORONARIANA CLINICAMENTE MANIFESTA, MAS CONSIDERADA ALTO RISCO, ATENDIDO AMBULAT|01C|25,5|0|10,6|0|0|0|36,1
20103425|PARALISIA CEREBRAL|02A|34|0|5,9|0|0|0|39,9
20103433|PARALISIA CEREBRAL COM DISTÚRBIO DE COMUNICAÇÃO|02A|34|0|4,5|0|0|0|38,5
20103441|PARAPARESIA/TETRAPARESIA|01C|25,5|0|6,6|0|0|0|32,1
20103450|PARAPLEGIA E TETRAPLEGIA|01C|25,5|0|5,2|0|0|0|30,7
20103468|PARKINSON|02A|34|0|2,3|0|0|0|36,3
20103476|PATOLOGIA NEUROLÓGICA COM DEPENDÊNCIA DE ATIVIDADES DA VIDA DIÁRIA|01C|25,5|0|8,7|0|0|0|34,2
20103484|PATOLOGIA OSTEOMIOARTICULAR EM UM MEMBR0|01C|25,5|0|4,7|0|0|0|30,2
20103492|PATOLOGIA OSTEOMIOARTICULAR EM DOIS OU MAIS MEMBROS|02A|34|0|6|0|0|0|40
20103506|PATOLOGIA OSTEOMIOARTICULAR EM UM SEGMENTO DA COLUNA|01C|25,5|0|2,7|0|0|0|28,2
20103514|PATOLOGIA OSTEOMIOARTICULAR EM DIFERENTES SEGMENTOS DA COLUNA|02A|34|0|15,6|0|0|0|49,6
20103522|PATOLOGIAS OSTEOMIOARTICULARES COM DEPENDÊNCIA DE ATIVIDADES DA VIDA DIÁRIA|01C|25,5|0|6,3|0|0|0|31,8
20103530|RECUPERAÇÃO FUNCIONAL PÓS-OPERATÓRIA OU POR IMOBILIZAÇÃO DA PATOLOGIA VERTEBRAL|01C|25,5|0|9|0|0|0|34,5
20103549|PROCEDIMENTOS MESOTERÁPICOS (POR REGIÃO ANATÔMICA)|01C|25,5|0|1|0|0|0|26,5
20103557|PROCEDIMENTOS MESOTERÁPICOS COM CALCITONINA (QUALQUER SEGMENTO)|01C|25,5|0|1|0|0|0|26,5
20103565|PROCESSOS INFLAMATÓRIOS PÉLVICOS|01B|17|0|4,6|0|0|0|21,6
20103573|PROGRAMA EXERCÍCIO SUPERVISIONADO OBTENÇÃO ECG E/OU SATURAÇÃO DE O2 - SESSÃO INDIVIDUAL|01A|8,5|0|0|0|0|0|8,5
20103581|PROGRAMA EXERCÍCIO SUPERVISIONADO C/ OBTENÇÃO ECG E/OU SATURAÇÃO DE O2 - SESSÃO COLETIVA|01A|8,5|0|0|0|0|0|8,5
20103590|PROGRAMA DE EXERCÍCIO SUPERVISIONADO SEM OBTENÇÃO DE EECG E/OU SATURAÇÃO DE O2 - SESSÃO INDIVIDUAL|01A|8,5|0|0|0|0|0|8,5
20103603|PROGRAMA DE EXERCÍCIO SUPERVISIONADO SEM OBTENÇÃO DE ECG E/OU SATURAÇÃO DE O2 - SESSÃO COLETIVA|01A|8,5|0|0|0|0|0|8,5
20103611|QUEIMADOS - SEGUIMENTO AMBULATORIAL PARA PREVENÇÃO DE SEQÜELAS (POR SEGMENTO)|01C|25,5|0|3|0|0|0|28,5
20103620|REABILITAÇÃO DE PACIENTE COM ENDOPRÓTESE|01B|17|0|7,6|0|0|0|24,6
20103638|REABILITAÇÃO LABIRÍNTICA (POR SESSÃO)|01C|25,5|0|10|0|0|0|35,5
20103646|REABILITAÇÃO PERINEAL COM BIOFEEDBACK|03C|108,8|0|83|0|0|0|191,8
20103654|RECUPERAÇÃO FUNCIONAL DE DISTÚRBIOS CRÂNIO-FACIAIS|01B|17|0|3,4|0|0|0|20,4
20103662|FISIOTERAPIA POS-OPERATORIA/IMOBILIZ. 1 MEMBRO|01B|17|0|4,7|0|0|0|21,7
20103670|RECUP FUNCIONAL PÓS-OPERATÓRIA OU PÓS-IMOBILIZAÇÃO GESSADA PATOLOGIA OSTEOMIOARTICULAR C|01B|17|0|7|0|0|0|24
20103689|RETARDO DO DESENVOLVIMENTO PSICOMOTOR|01B|17|0|6,2|0|0|0|23,2
20103697|SEQÜELAS DE TRAUMATISMOS TORÁCICOS E ABDOMINAIS|01B|17|0|3|0|0|0|20
20103700|TRATAMENTO FISIOTERAPICO DE SEQUELAS EM POLITRAUMATIZADOS EM DIFERENTES SEGMENTOS|01B|17|0|15,6|0|0|0|32,6
20103719|SINUSITES|01B|17|0|3|0|0|0|20
20103727|REABILITAÇÃO CARDÍACA SUPERVISIONADA. PROGRAMA DE 12 SEMANAS. DUAS A TRÊS SESSÕES POR SEMANA (POR SE|01C|25,5|0|0|0|0|0|25,5
20104014|ACTINOTERAPIA (POR SESSÃO)|01A|8,5|0|0|0|0|0|8,5
20104022|APLICAÇÃO DE HIPOSSENSIBILIZANTE - EM CONSULTÓRIO (AHC) EXCLUSIVE O ALÉRGENO - PLANEJAMENTO TÉCNICO|01A|8,5|0|0|0|0|0|8,5
20104049|CATETERISMO VESICAL EM RETENÇÃO URINÁRIA|01C|25,5|0|0|0|0|0|25,5
20104065|CERUMEN - REMOÇÃO (BILATERAL)|01B|17|0|0|0|0|0|17
20104073|CRIOTERAPIA (GRUPO DE ATÉ 5 LESÕES)|02A|34|0|0|0|0|0|34
20104081|CURATIVOS EM GERAL COM ANESTESIA, EXCETO QUEIMADOS|01A|8,5|0|0|0|0|0|8,5
20104090|CURATIVO DE EXTREMIDADES DE ORIGEM VASCULAR|02A|34|0|0|0|0|0|34
20104103|CURATIVOS EM GERAL SEM ANESTESIA, EXCETO QUEIMADOS|01A|8,5|0|0|0|0|0|8,5
20104103|CURATIVOS EM GERAL SEM ANESTESIA, EXCETO QUEIMADOS|01A|8,5||0||||
20104111|DILATAÇÃO URETRAL (SESSÃO)|02C|54,4|0|0|0|0|0|54,4
20104120|FOTOTERAPIA COM UVA (PUVA) (POR SESSÃO)|01B|17|0|0|0|0|0|17
20104138|IMUNOTERAPIA ESPECIFICA - 30 DIAS - PLANEJAMENTO TECNICO|02C|54,4|0|0|0|0|0|54,4
20104146|IMUNOTERAPIA INESPECIFICA - 30 DIAS - PLANEJAMENTO TECNICO|02C|54,4|0|0|0|0|0|54,4
20104154|INSTILAÇÃO VESICAL OU URETRAL|02B|45,9|0|0|0|0|0|45,9
20104170|ELETROCONVULSOTERAPIA (POR APLICACAO)|03C|108,8|0|0|0|0|0|108,8
20104189|OXIGENIOTERAPIA HIPERBARICA - ALTO|05B|187|0|92,1|0|0|0|279,1
20104235|NEBULIZACAO SIMPLES COM BRONCODILATADOR|01A|8,5|0|0|0|0|0|8,5
20104243|TERAPIA ONCOLÓGICA COM ALTAS DOSES PLANEJAMENTO E PRIMEIRO DIA DE TRATAMENTO|07A|281,35|0|0|0|0|0|281,35
20104251|TERAPIA CONCOLOGICA COM ALTAS DOSES POR DIA SUBSEQ DE TRATAMENTO (ATE O PROXIMO CICLO)|02C|54,4|0|0|0|0|0|54,4
20104260|TERAPIA ONCOLÓGICA COM APLICAÇÃO DE MEDICAMENTOS POR VIA INTRACAVITÁRIA OU INTRATECAL - POR PROCEDIM|04C|160,65|0|0|0|0|0|160,65
20104278|TERAPIA ONCOLOGICA C/ APLICACAO INTRA-ARTERIAL/ INTRAVENOSA MED EM INFUSAO DURACAO 6H PLAN E 1º DIA|04B|142,8||0||||
20104286|TERAPIA ONCOLÓGICA C/ APLICAÇÃO INTRA-ARTERIAL OU INTRAVENOSA DE MED EM INFUSÃO DE DURAÇÃO MIN 6H|02A|34|0|0|0|0|0|34
20104294|TERAPIA ONCOLÓGICA - PLANEJAMENTO E 1º DIA DE TRATAMENTO|04A|130,05|0|0|0|0|0|130,05
20104308|TERAPIA ONCOLOGICA POR DIA SUBSEQUENTE DE TRATAMENTO (ATE O INICIO DO PROXIMO CICLO)|01C|25,5|0|0|0|0|0|25,5
20104316|CURATIVO DE OUVIDO (CADA)|01B|17|0|0|1|0|0|17
20104324|CURATIVO OFTALMOLÓGICO|01B|17|0|0|0|0|0|17
20104391|TERAPIA IMUNOBIOLÓGICA INTRAVENOSA (POR SESSÃO) - AMBULATORIAL|04C|160,65||0||||
20105010|PERÍCIA FORENSE, POR PSIQUIATRA FORENSE|11B|848,3|0|0|0|0|0|848,3
20105029|PERÍCIA PSIQUIÁTRICA ADMINISTRATIVA|08C|442|0|0|0|0|0|442
20201010|ACOMPANHAMENTO CL TRANSPLANTE RENAL PERÍODO DE INTERNAÇÃO RECEPTOR E DOADOR (PÓS-OPER ) ATE 15 DIAS|14A|1891,25|0|0|0|0|0|1891,25
20201028|ACOMPANHAMENTO PEROPERATÓRIO|02B|45,9|0|0|0|0|0|45,9
20201036|ASSISTÊNCIA CARDIOLÓGICA PEROPERATÓRIA EM CIRURGIA GERAL E EM PARTO (PRIMEIRA HORA)|03A|74,8|0|0|0|0|0|74,8
20201044|ASSISTÊNCIA CARDIOLÓGICA PEROPERATÓRIA EM CIRURGIA GERAL E EM PARTO (HORAS SUPLEMENTARES) MAX DE 4 H|02A|34|0|0|0|0|0|34
20201052|AVALIACAO CLINICA CARDIOVERSAO ELETRICA ELETIVA|02C|54,4|0|0|0|0|0|54,4
20201060|REJEIÇÃO DE ENXERTO RENAL - TRATAMENTO INTERNADO - AVALIAÇÃO CLÍNICA DIÁRIA - POR VISITA|02C|54,4|0|0|0|0|0|54,4
20201079|TRANSPLANTE DUPLO RIM-PÂNCREAS - ACOMPANHAMENTO CLÍNICO (PÓS-OPERATÓRIO ATÉ 15 DIAS)|14A|1891,25|0|0|0|0|0|1891,25
20201087|TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFÁLICO, HIPERTENSÃO INTRACRANIANA E HEMORRAGIA - DIA|03C|108,8|0|0|0|0|0|108,8
20201095|ESCHERICHIA COLI 0157 FEZES|02A|34|0|0|0|0|0|34
20201109|AVALIAÇÃO CLÍNICA DIÁRIA ENTERAL|02B|45,9|0|0|0|0|0|45,9
20201117|AVALIAÇÃO CLINICA DIARIA PARENTERAL|03A|74,8|0|0|0|0|0|74,8
20201125|AVALIACAO CLINICA DIARIA PARENTERAL E ENTERAL|03B|95,2|0|0|0|0|0|95,2
20202016|CARDIOTOCOGRAFIA ANTEPARTO|01B|17|0|17,4|0|0|0|34,4
20202024|CARDIOTOCOGRAFIA INTRAPARTO (POR HORA) ATÉ 6 HORAS EXTERNA|01A|8,5|0|0|0|0|0|8,5
20202032|MONITORIZAÇÃO HEMODINÂMICA INVASIVA (POR 12 HORAS)|02A|34|0|0|0|0|0|34
20202040|MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA|07C|368,05|0|320|0|0|0|688,05
20202059|POTENCIAL EVOCADO INTRA-OPERATORIO (MONITORIZACAO CIRURGICA (PE/IO)|02B|45,9|0|82,6|0|0|0|128,5
20202067|MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA (POR DIA)|02B|45,9|0|0|0|0|0|45,9
20203012|ASSISTÊNCIA FISIÁTRICA RESPIRATÓRIA EM PACIENTE INTERNADO COM VENTILAÇÃO MECÂNICA|01B|17|0|4,4|0|0|0|21,4
20203020|ELETROESTIMULAÇÃO DO ASSOALHO PÉLVICO E/OU OUTRA TÉCNICA DE EXERCÍCIOS PERINEAIS - POR SESSÃO|01C|25,5|0|0|0|0|0|25,5
20203047|ASSISTÊNCIA FISIÁTRICA RESPIRATÓRIA EM DOENTE CLÍNICO INTERNADO|01B|17|0|3|0|0|0|20
20203063|PACIENTE EM PÓS-OPERATÓRIO DE CIRURGIA CARDÍACA, HOSPITALIZADO, ATÉ 8 SEMANAS DE PROGRAMA|01B|17|0|10,6|0|0|0|27,6
20203071|PACIENTES EM PÓS-OPERATÓRIO DE CIRURGIA CARDÍACA, HOSPITALIZADO, ATÉ 8 SEMANAS DE PROGRAMA|01B|17|0|10,6|0|0|0|27,6
20204027|CARDIOVERSAO ELETRICA DE EMERGENCIA|02C|54,4|0|0|0|0|0|54,4
20204035|CARDIOVERSAO QUIMICA DE ARRITMIA PAROXISTA EM EMERGENCIA|02C|54,4|0|0|0|0|0|54,4
20204043|PRIAPISMO - TRATAMENTO NÃO CIRÚRGICO|03A|74,8|0|0|0|0|0|74,8
20204086|TERAPIA ONCOLÓGICA COM APLICAÇÃO INTRA-ARTERIAL DE MED, EM REGIME DE APLICAÇÃO PEROPERATÓRIO|08B|416,5|0|0|0|0|0|416,5
20204167|TERAPIA IMUNOBIOLÓGICA INTRAVENOSA (POR SESSÃO) - HOSPITALAR|04C|160,65||0||||
30101018|ABRASÃO CIRÚRGICA (POR SESSÃO)|03C|108,8|0|0|2|0|0|108,8
30101026|ALOPECIA PARCIAL - EXÉRESE E SUTURA|04C|160,65|1|0|3|0|0|160,65
30101034|ALOPECIA PARCIAL - ROTAÇÃO DE RETALHO|05B|187|1|0|3|0|0|187
30101042|ALOPECIA PARCIAL - ROTAÇÃO MÚLTIPLA DE RETALHOS|08C|442|2|0|3|0|0|442
30101050|APÊNDICE PRÉ-AURICULAR - RESSECÇÃO|04A|130,05|1|0|4|0|0|130,05
30101069|AUTONOMIZAÇÃO DE RETALHO - POR ESTÁGIO|05B|187|1|0|2|0|0|187
30101077|BIÓPSIA DE PELE, TUMORES SUPERFICIAIS, TECIDO CELULAR SUBCUTÂNEO, LINFONODO SUPERFICIAL, ETC|02B|45,9|1|0|1|0|0|45,9
30101085|BIÓPSIA DE UNHA|02B|45,9|0|0|1|0|0|45,9
30101093|CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO (POR LESÃO)|01B|17|0|0|1|0|0|17
30101107|CAUTERIZAÇÃO QUÍMICA (POR GRUPO DE ATÉ 5 LESÕES)|02A|34|0|0|1|0|0|34
30101115|CIRURGIA DA HIDROSADENITE (POR REGIÃO)|05B|187|1|0|3|0|0|187
30101140|CORREÇÃO CIRÚRGICA DE LINFEDEMA (POR ESTÁGIO)|09C|566,1|2|0|4|0|0|566,1
30101158|CORREÇÃO CIRÚRGICA DE SEQUELAS DE ALOPECIA TRAUMÁTICA COM MICROENXERTOS PILOSOS (POR REGIÃO)|06A|216,75|1|0|5|0|0|216,75
30101166|CORREÇÃO DE DEFORMIDADES NOS MEMBROS COM UTILIZAÇÃO DE IMPLANTES|09B|514,25|2|0|6|0|0|514,25
30101174|CORREÇÃO DEFORMIDADES EXÉRESE TUMORES, CICATRIZES FERIMENTOS COM EMPREGO EXPANSORES RETALHOS MUSC|09B|514,25|2|0|4|0|0|514,25
30101182|CORREÇÃO DE DEFORMIDADES POR EXÉRESE DE TUMORES, CICATRIZES OU FERIMENTOS, COM O EMPREGO DE EXPANSOR|09B|514,25|2|0|4|0|0|514,25
30101190|CORREÇÃO DE LIPODISTROFIA BRAQUIAL, CRURAL OU TROCANTERIANA DE MEMBROS SUPERIORES E INFERIORES|09A|471,75|2|0|4|0|0|471,75
30101204|CRIOCIRURGIA (NITROGÊNIO LÍQUIDO) DE NEOPLASIAS CUTÂNEAS|03B|95,2|0|0|2|0|0|95,2
30101212|CURATIVO DE QUEIMADURAS (POR U.T.) AMBULATORIAL|01C|25,5|0|0|1|0|0|25,5
30101220|CURATIVO DE QUEIMADURAS (POR U.T.) HOSPITALAR|02C|54,4|0|0|1|0|0|54,4
30101239|CURATIVO ESPECIAL SOB ANESTESIA (POR U.T.)|02C|54,4|0|0|1|0|0|54,4
30101247|CURETAGEM E ELETROCOAGULAÇÃO DE CA DE PELE (POR LESÃO)|03A|74,8|0|0|0|0|0|74,8
30101255|CURETAGEM SIMPLES DE LESÕES DE PELE (POR GRUPO DE ATÉ 5 LESÕES)|02A|34|0|0|0|0|0|34
30101263|DERMOABRASÃO DE LESÕES CUTÂNEAS|04C|160,65|0|0|0|0|0|160,65
30101271|DERMOLIPECTOMIA PARA CORREÇÃO DE ABDOME EM AVENTAL|09C|566,1|2|0|5|0|0|566,1
30101280|DESBRIDAMENTO CIRÚRGICO - POR UNIDADE TOPOGRÁFICA (UT)|03C|108,8|0|0|2|0|0|108,8
30101298|ELETROCOAGULAÇÃO DE LESÕES DE PELE E MUCOSAS - COM OU SEM CURETAGEM (POR GRUPO DE ATÉ 5 LESÕES)|02C|54,4|0|0|0|0|0|54,4
30101301|ENXERTO CARTILAGINOSO|05B|187|1|0|2|0|0|187
30101310|ENXERTO COMPOSTO|05B|187|1|0|2|0|0|187
30101328|ENXERTO DE MUCOSA|05B|187|1|0|2|0|0|187
30101336|ENXERTO DE PELE (HOMOENXERTO INCLUSIVE)|05B|187|2|0|2|0|0|187
30101344|ENXERTO DE PELE MÚLTIPLO - POR UNIDADE TOPOGRÁFICA (UT)|05B|187|2|0|2|0|0|187
30101352|EPILAÇÃO POR ELETRÓLISE (POR SESSÃO)|02A|34|0|0|0|0|0|34
30101360|ESCALPO PARCIAL - TRATAMENTO CIRÚRGICO|06A|216,75|2|0|4|0|0|216,75
30101379|ESCALPO TOTAL - TRATAMENTO CIRÚRGICO|09B|514,25|2|0|5|0|0|514,25
30101387|ESCAROTOMIA DESCOMPRESSIVA (POR U.T.)|02C|54,4|0|0|2|0|0|54,4
30101409|ESFOLIAÇÃO QUÍMICA PROFUNDA (POR SESSÃO)|04A|130,05||0|0|||
30101417|ESFOLIAÇÃO QUÍMICA SUPERFICIAL (POR SESSÃO)|03A|74,8|0|0|0|0|0|74,8
30101425|EXÉRESE DE HIGROMA CÍSTICO|09A|471,75|1|0|3|0|0|471,75
30101441|EXÉRESE DE LESÃO COM AUTO-ENXERTIA|05C|198,9|1|0|2|0|0|198,9
30101450|EXÉRESE E SUTURA DE LESÕES (CIRCULARES OU NÃO) COM ROTAÇÃO DE RETALHOS CUTÂNEOS|05A|173,4|1|0|2|0|0|173,4
